Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	52.4960048748129	1.10621593973864	52.5076588844114	1.20717997124397	1543.70378510252
2	79433	52.4525016381189	1.01969897909131	52.4624123931108	1.11371407653485	1545.64682009762
3	63096	52.4394780690296	0.993442793499985	52.4488873927388	1.08531345749219	1547.9898640917
4	50119	52.4737125859115	1.00261362950087	52.4832901659081	1.09461552244243	1550.37790908567
5	39811	52.5108250502031	1.05128141792043	52.5213474700783	1.14692432866218	1552.71595007977
6	31623	52.5536640457791	1.14218495403853	52.5660745263126	1.24505260336865	1555.08399607379
7	25119	52.6305731163697	1.2538629526788	52.6455069199798	1.36474797631037	1557.4970390677
8	19953	52.731377312759	1.41771934343554	52.7504320497691	1.5400654333811	1559.9500860615
9	15849	52.8188186207028	1.6145527392038	52.843489485786	1.75085819467271	1562.43313005524
10	12589	52.9409631872662	1.86626830069404	52.9738477039912	2.01894771338998	1564.97617704881
11	10000	53.1013885826497	2.1731299842881	53.1458367450751	2.34347424066307	1567.64922804207
12	7943.3	53.2406479311925	2.53460056830923	53.3009455091939	2.72559333208639	1570.45227803499
13	6309.6	53.4043710694141	2.97503507332502	53.4871730698789	3.1885208771533	1573.32533202774
14	5011.9	53.6180703847483	3.50469491618082	53.7324888520839	3.73976498121228	1576.25838802033
15	3981.1	53.8524277414281	4.1506330236124	54.0121442653634	4.40731328740741	1579.23644401281
16	3162.3	54.1090655358504	4.92384561329489	54.3326350252453	5.19951154460335	1582.25949700518
17	2511.9	54.3946686042149	5.87012131888087	54.7104953081284	6.15936403683728	1585.32755599743
18	1995.3	54.7104172779536	7.01379636964236	55.1581643842742	7.30538893534918	1588.50561498941
19	1584.9	55.0475879448599	8.42379502829271	55.688394313589	8.70033601052056	1591.6386709815
20	1258.9	55.4506964231491	10.1539520812813	56.3727103897019	10.3768523380633	1594.93673097317
21	1000	55.8677559557916	12.2744064913314	57.200237851344	12.3912771543084	1598.04479196532
22	794.33	56.3022896738673	14.8880368946633	58.2374575775499	14.8117284592716	1601.53785395651
23	630.96	56.7963434619677	18.1624449254705	59.6296825106469	17.7333375540725	1604.83591694818
24	501.19	57.3430893588658	22.234081850885	61.5027177689793	21.1931934421506	1608.12897793986
25	398.11	57.9241841743562	27.3551367720093	64.0586810672845	25.2793800814647	1611.28703393189
26	316.23	58.7061093193829	33.8041802129231	67.743116781612	29.9342187274646	1614.63009692345
27	251.19	59.6994901891445	41.9122135959784	72.9428733829335	35.0708939680502	1618.12816091462
28	199.53	60.9514083788392	52.0351609968767	80.1419500844278	40.4878988511877	1621.48622490614
29	158.49	62.8180607369476	64.7865543150092	90.2408243244845	45.883803680559	1627.41533689117
30	125.89	65.4837253509091	80.6559990249585	103.891811345011	50.9272314449396	1630.93339788229
31	100	69.3475096542219	100.277087505563	121.92034848146	55.3338598516172	1634.64646687291
32	79.433	75.0553617288913	124.702270624625	145.547118223591	58.9572548775581	1638.46953686326
33	63.096	83.3239710215944	154.484604634975	175.523152934398	61.6590201639184	1642.43261185326
34	50.119	96.3003055982938	190.588713861745	213.536429467664	63.1935290961756	1646.65568884259
35	39.811	115.532541640138	234.893957888943	261.768866809181	63.8097439005656	1650.95376883174
36	31.623	144.029971997788	286.368987710855	320.549262916363	63.2997802804859	1654.94684282166
37	25.119	183.291950581748	343.189527406809	389.069390815791	61.8940492209609	1659.01991881138
38	19.953	240.119824779317	405.853321689002	471.565954006485	59.3896632645883	1661.89297280412
39	15.849	315.157154390396	468.272225129056	564.449208335674	56.0586086589282	1666.8910657915
40	12.589	411.176781830889	519.966881925374	662.896601451541	51.6639358968194	1670.32412778284
41	10	523.393307489687	556.510889845448	763.966573117938	46.7565476527471	1680.12931075808
42	7.9433	644.653708332054	573.137806713163	862.592226460594	41.6391138851581	1691.89752972837
43	6.3096	768.795905835462	565.196262737814	954.198071808029	36.3222377432508	1697.42062971442
44	5.0119	882.152100715461	531.492181760371	1029.89138653991	31.068751023658	1703.1737376999
45	3.9811	976.163405998541	485.148520872255	1090.0752646103	26.4271555194945	1709.01184568516
46	3.1623	1056.35187467091	434.998582916637	1142.4110688628	22.3815339265782	1715.16995766961
47	2.5119	1115.5309569909	383.160755951049	1179.50052179133	18.9564881226572	1721.42807665381
48	1.9953	1161.04569719141	334.93593115646	1208.3911572609	16.0916775255182	1727.83619363763
49	1.5849	1198.24036273367	294.214488139194	1233.83229489065	13.7954193527376	1731.67426562794
50	1.2589	1226.71456391247	261.719504119265	1254.32281337437	12.0434863529363	1745.12751659398
51	1	1252.24756101382	235.529476056589	1274.20488468556	10.6520533350374	1751.41863057809
52	0.79433	1275.2517756072	216.452769484537	1293.49097121195	9.63319646292823	1758.05475356134
53	0.63096	1293.55235650782	202.738733192888	1309.34361149531	8.90751549862568	1762.5078345501
54	0.50119	1311.15552270799	194.845024236435	1325.55399293931	8.45261324291373	1767.37092453782
55	0.39811	1330.63479611931	193.000256789362	1344.55868587587	8.25284212078104	1772.52902152479
56	0.31623	1349.2572916399	198.206862287431	1363.73795111131	8.3570187945737	1778.27212651029
57	0.25119	1371.27949298791	204.397139309249	1386.42909607632	8.47784913446943	1784.67024749414
58	0.19953	1395.63691732341	210.365898937181	1411.40221639037	8.57172884154358	1791.90338047588
59	0.15849	1420.17211898665	227.421446440332	1438.26609563322	9.09790453598503	1800.25653645479
60	0.12589	1448.0202707903	247.155827520259	1468.96177884139	9.68620495341228	1809.86471343053
61	0.1	1477.74302282975	263.715557517135	1501.08971643888	10.1183919175401	1820.95791640252
