Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	52.4334749565717	1.08377124341412	52.4446742399024	1.18410381110379	1249.0693318464
2	79433	52.4308491122203	1.00056314399731	52.4403953573344	1.09327025119107	1250.99736584154
3	63096	52.4276018150501	0.974537622125598	52.4366585096188	1.06490591107773	1253.35540683558
4	50119	52.4500440298485	0.992609059378946	52.4594356763186	1.08418444095798	1255.67345182973
5	39811	52.5309388071133	1.03837274567655	52.5412004993762	1.13241130501507	1257.93149482403
6	31623	52.5929863242459	1.12119987994337	52.6049360770745	1.22127105562791	1260.25453681816
7	25119	52.6268903503157	1.24613102580545	52.6416416012801	1.35643031130593	1262.63757881215
8	19953	52.7284093602098	1.40853352707072	52.7472190769783	1.53017774423581	1265.02062480613
9	15849	52.8247661349723	1.60701660273271	52.8492045311561	1.74249479800825	1267.43866780003
10	12589	52.9638505260976	1.86066306134558	52.9965237499467	2.01201978779828	1269.90671479379
11	10000	53.0894048772889	2.14899163148383	53.13288130016	2.31799485027272	1272.60976578697
12	7943.3	53.264259626243	2.52388799319982	53.3240223926706	2.71288944046918	1275.37281777999
13	6309.6	53.429551487222	2.97420731575838	53.5122685118358	3.18613636886973	1278.25087077273
14	5011.9	53.6198179948662	3.50023509195378	53.7339420431958	3.73489811343181	1281.17892476533
15	3981.1	53.8490074248263	4.14031240995401	54.0079418927533	4.39667560231616	1284.18197775775
16	3162.3	54.0891089867883	4.91584834215099	54.3120361974	5.19301754234591	1287.14003275028
17	2511.9	54.4034206187007	5.86080764580128	54.7181984469185	6.14868465138585	1290.28809274234
18	1995.3	54.7282459931007	7.0043541231189	55.1746489446321	7.29330906905849	1293.42115073443
19	1584.9	55.0623443126852	8.40434462981983	55.7000428174474	8.67826251561181	1296.36920472698
20	1258.9	55.4599675890606	10.1228593554599	56.3762386694081	10.3440721242109	1299.63226371874
21	1000	55.8813146238469	12.2485769426451	57.2079449133533	12.3630965950705	1302.61032071123
22	794.33	56.3198149337982	14.8509948113059	58.2449448541478	14.772093612819	1306.04838270254
